OBJECTID,LANES,COND,midlat,midlong,COND_num
25023,2,Good,42.571612573850004,-83.3872684422,3
115842,5,Poor,42.377414736649996,-83.4019769942,1
52909,2,Good,42.683740716,-83.04740988124999,3
4884,4,Good,42.54266267175,-83.20904537775,3
3974,4,Fair,42.497941667199996,-83.16714826805,2
116800,1,Good,42.381719011499996,-83.3988987855,3
72644,5,Poor,42.99219107165,-82.4319242854,1
12018,3,Good,42.47069618585,-83.33585820575,3
1334,3,Fair,42.5627378624,-83.13300386555,2
105358,3,Fair,42.33081908815,-83.0419865334,2
131113,2,Fair,42.253239548850004,-83.19219358215,2
87102,2,Fair,42.23713170725,-84.05376994209999,2
119610,4,Fair,42.399563870099996,-83.11098625595,2
65561,5,Fair,42.5508718794,-83.7895619757,2
110687,2,Fair,42.2541943958,-83.169034782,2
100690,4,Poor,42.40676927015,-82.95738743449999,1
47125,3,Poor,42.566011467950005,-83.01856295575,1
11911,2,Good,42.49791782215,-83.48628271055,3
100760,4,Poor,42.3901229633,-83.01591133485,1
120871,3,Poor,42.43721934455,-83.07675685065,1
176121,2,Fair,42.64507782195,-83.15347105635,2
114767,2,Good,42.430412356,-83.06295176435,3
48881,4,Poor,42.6781575814,-82.74129670100001,1
11642,2,Good,42.565285001700005,-83.55935556694999,3
194474,2,Fair,42.3860843935,-83.2459889417,2
91297,5,Poor,42.22348864015,-83.67988877184999,1
23197,2,Poor,42.49480739015,-83.22469534835,1
108643,7,Fair,42.36381418175,-83.06896098285,2
69616,4,Fair,42.5937243612,-83.93348917595,2
33881,3,Poor,42.5431366951,-83.3536502477,1
192162,4,Poor,42.422895914950004,-83.04206254325,1
191850,3,Fair,42.37696950965,-83.14845085445,2
187563,3,Poor,42.24043397205,-83.61305783725001,1
116156,1,Good,42.382040153700004,-83.4072059889,3
76942,2,Fair,43.12640352255001,-82.51175248935,2
108275,2,Poor,42.3595265712,-83.18727315525001,1
106783,4,Fair,42.39521685065,-83.0086618051,2
116080,2,Poor,42.3706670124,-83.29000788705,1
44372,1,Fair,42.67217393715,-82.82195191085,2
40873,5,Poor,42.665237483149994,-83.33138419635,1
202688,5,Poor,42.2414911173,-83.1451639933,1
158204,2,Good,42.4602321985,-82.93166386269999,3
50765,2,Poor,42.4901571805,-83.0761667972,1
2590,2,Poor,42.68230619345,-83.12756822604999,1
82637,3,Fair,41.760395074200005,-83.4806467185,2
10213,2,Poor,42.59454469565,-83.4812302579,1
58881,3,Fair,42.585011871649996,-82.88222462045,2
139170,7,Poor,42.22887501465,-83.19452226909999,1
45101,4,Poor,42.44752306595,-83.06658826315,1
128360,2,Fair,42.18835979825,-83.3052884889,2
114712,2,Poor,42.40943986204999,-83.2087749251,1
201534,1,Poor,42.3516818633,-83.2740538615,1
133173,2,Fair,42.1267619803,-83.35373130095,2
142363,1,Fair,42.40107727015,-83.0742167282,2
136193,2,Fair,42.35122267615,-83.34655740475,2
3361,5,Poor,42.5102110384,-83.22294765875,1
161171,2,Poor,42.70082922225,-82.95540139265,1
105338,3,Poor,42.340622966050006,-83.01924924195,1
105382,1,Poor,42.3346177488,-83.03751716165,1
99655,4,Fair,42.37114536555,-83.08438195175,2
81226,2,Poor,41.99729208785,-83.58580273390001,1
82820,4,Good,41.95505525815,-83.37915534915,3
23403,2,Poor,42.482035890199995,-83.21773954725,1
179254,3,Fair,42.6496619799,-83.2198991649,2
112474,2,Fair,42.31446452735,-83.53086777575,2
44621,2,Fair,42.5314352174,-82.95190419065,2
14757,5,Good,42.4942072682,-83.30057684754999,3
153131,2,Poor,42.695378400050004,-83.0789185523,1
190546,5,Poor,42.42064572925,-83.35507654345,1
120532,5,Fair,42.34450419955,-83.1566432226,2
116411,4,Good,42.3840000203,-83.3134388995,3
21083,2,Fair,42.7732651262,-83.5037450234,2
96029,4,Poor,42.2776859934,-83.69944591965,1
164726,4,Poor,42.4903091333,-83.1263123905,1
199712,2,Fair,42.3039474124,-83.4942415431,2
196165,1,Poor,42.4063705679,-83.08557048385,1
40753,4,Good,42.6018205729,-83.28756554705001,3
24076,3,Poor,42.46109883505,-83.64155705920001,1
175317,2,Good,42.467327378700006,-83.1481351891,3
157648,2,Fair,42.54648707295,-82.96430753,2
149570,2,Poor,42.3897178301,-83.49449577544999,1
158545,3,Poor,42.504364312999996,-82.9322284177,1
175408,2,Poor,42.691197549950004,-83.55418287725,1
142103,2,Poor,42.278370752149996,-83.13326434435001,1
99011,7,Poor,42.352308841950006,-83.0982774652,1
134998,5,Fair,42.25728201665,-83.3285809823,2
198025,2,Good,42.351169501650006,-83.16206198275,3
141581,4,Poor,42.430283569699995,-83.2090205396,1
168942,3,Fair,42.563000556199995,-83.1290110307,2
90674,3,Good,42.399783602650004,-83.76329314865,3
38269,2,Good,42.6657074349,-83.3864512285,3
112483,2,Good,42.3995337773,-83.5301418437,3
101378,3,Poor,42.213885899649995,-83.16829705354999,1
108095,4,Fair,42.3079851257,-83.10284866125,2
96549,3,Fair,42.2682973646,-83.7798601449,2
167695,2,Poor,42.4741132077,-83.5274705311,1
132510,2,Poor,42.305655474549994,-83.41883738915,1
20633,2,Poor,42.799919045500005,-83.64762937835,1
191450,3,Poor,42.3945497164,-83.37346884269999,1
8236,2,Good,42.651470243800006,-83.15260927675001,3
194167,2,Poor,42.3847593848,-83.28382781184999,1
74214,2,Fair,42.82788442875,-82.5092127564,2
72085,2,Poor,42.87385297435,-82.58265311970001,1
41186,4,Fair,42.492868321749995,-83.30246322075001,2
143615,4,Good,42.4917206314,-83.03130080045,3
8351,5,Good,42.554767918799996,-83.14727914655,3
118432,4,Poor,42.360965452049996,-83.0871214381,1
192255,4,Fair,42.4014179992,-83.10113106509999,2
98126,1,Fair,42.3283530117,-83.15638863404999,2
74795,2,Poor,42.93429069515,-82.53156647285,1
208257,3,Good,42.62381381665,-83.87525337689999,3
43195,5,Poor,42.49982139185,-83.08541116615,1
97252,3,Poor,42.404388952350004,-82.9619569441,1
186153,2,Poor,42.289277119800005,-83.6731926721,1
188986,2,Fair,42.2831228485,-83.78932709805,2
4628,4,Fair,42.8240575901,-83.26433741475,2
56769,2,Fair,42.46939020275,-82.92453430465,2
206804,4,Poor,42.545561693799996,-82.85715195825,1
74316,1,Good,42.87917472795,-82.4754288754,3
115180,5,Fair,42.36808389155,-83.3840490083,2
13648,2,Fair,42.44861701925,-83.3366436334,2
53835,4,Poor,42.8030962783,-83.0133704739,1
113676,5,Poor,42.4292782069,-83.11305312959999,1
152490,4,Fair,42.475308409099995,-83.14442692265,2
81682,2,Good,42.0400354408,-83.62963105925,3
169928,2,Fair,42.4942893386,-83.13132078515,2
152508,4,Fair,42.4746358357,-83.18176111375,2
91953,3,Fair,42.283353983,-83.7994281812,2
41403,5,Poor,42.53811436185,-82.98002334405,1
150330,1,Poor,42.185880631399996,-83.22719584615001,1
21874,4,Poor,42.7908418028,-83.5120630772,1
110104,4,Good,42.21821366805,-83.18126929729999,3
96565,6,Poor,42.28125241405,-83.7803280237,1
24770,3,Fair,42.498122017849994,-83.53614649375,2
110100,4,Good,42.21580549235,-83.18117071149999,3
41064,1,Fair,42.47569441975,-83.24560836915,2
135810,2,Poor,42.3289927741,-83.4747667516,1
117841,2,Poor,42.3452922775,-83.42384617835,1
176945,5,Poor,42.61378958095,-83.13012068655,1
87448,4,Fair,42.218676301100004,-83.5444585992,2
71604,2,Poor,42.9764273175,-82.441538978,1
167947,3,Fair,42.6031079879,-83.2852391582,2
30457,3,Good,42.64575666275,-83.28893577465,3
189301,2,Good,42.1439944472,-83.98919732895,3
150271,1,Fair,42.3004095051,-83.27158184620001,2
